NAM 1 Hum BME280,NAM 1 Hum SHT30,NAM 2 Hum BME280,NAM 2 Hum SHT30,NAM 1 Temp BME280,NAM 1 Temp SHT30,NAM 2 Temp BME280,NAM 2 Temp SHT30,Luftdaten 1 PM10,Luftdaten 2 PM10,NAM 1 PM10,NAM 2 PM10,Luftdaten 1 PM2.5,Luftdaten 2 PM2.5,NAM 1 PM2.5,NAM 2 PM2.5,Reference 1 PM10,Reference 2 PM10,Reference 3 PM10,Reference 1 PM2.5,Reference 2 PM2.5,Reference 3 PM2.5
62.74,60.57,65.78,61.48,17.17,19.23,16.05,18.51,12.63,15.08,12.67,17.51,9.28,6.49,7.89,7.79,25.6,23,23.2,17.4,15.8,12.5
64.91,61.23,67.85,60.29,16.49,19.7,15.64,18.83,15.89,16.73,14.83,18.65,13.22,8.7,10.49,10.1,23.6,24.1,28.9,16.4,17.5,15.7
65.53,60.55,70.23,63.19,16.15,18.58,14.75,19.27,16.47,16.37,14.79,17.69,13.45,8.54,10.59,9.3,28.3,21.8,28.3,17.2,15.3,15.7
67.04,60.67,71.81,64.89,15.71,19.04,14.14,17.94,13.52,15.11,12.36,15.15,11.32,7.11,8.81,7.7,27.7,19.5,23.5,17.4,13.5,14.9
68.43,61.63,72.44,63.1,15.15,18.55,13.85,17.3,13.06,14.7,12.84,16.32,10.91,7.19,8.44,7.7,34.6,18,22.5,19.5,12.5,15.1
70.1,61.82,74.31,61.16,14.48,17.97,13.27,17.17,14.8,15.87,13.08,16.23,12.04,7.65,8.79,7.98,28.3,17.9,21.6,18.4,13.3,15.2
71.11,61.35,75.94,64.82,14.27,18.02,12.91,18.45,15.77,16.29,12.8,15.95,12.4,7.45,8.63,7.59,30.4,18.5,20.3,19,14,14.8
71.37,60.6,75.76,60.56,14.83,18.61,13.89,18.08,16.79,16.05,14.21,16.26,12.62,7.76,9.29,8.28,34.5,17.7,19.8,20.3,13.6,14.8
67.23,60.03,72.13,59.66,17.28,19.67,16.4,19.72,14.51,16.32,14.74,17.78,11.52,7.65,9.57,9.08,33.3,17.7,22.2,20.3,13.1,16.2
58.78,57.3,63.24,57.61,20.56,20.84,19.92,21.54,11.42,13.13,12.86,15.96,8.83,5.97,7.96,7.29,39.2,19.6,22,21.1,13,15.2
49.08,51.95,51.19,52.28,24.01,23.64,23.82,23.97,9.39,11.96,10.62,13.7,6.91,5.11,6.47,6.23,38.5,21,22.8,19.3,11.2,10.9
42.71,45.89,42.16,44.43,25.63,25.4,26.73,27.17,8.05,10.43,8.88,11.92,5.69,4.42,5.39,5.27,34.3,16.3,22.3,16.1,7.4,8.1
39.01,42.07,36.74,39.11,25.85,25.83,27.86,28.03,6.59,8.16,7.5,8.71,4.92,3.76,4.62,4.31,29.6,17,14.6,14,5.8,6.3
38.06,41.13,33.71,36.6,25.47,25.5,28.67,28.58,5.32,7.32,6.3,7.18,4.25,3.09,3.99,3.74,25,15.7,12.2,12.5,4.8,5.2
36.14,39.27,31.47,34.87,25.85,25.79,29.04,28.84,5.14,6.45,6.27,7.47,4.07,2.99,4.14,3.68,21.1,15.4,12.2,10.9,5,4.5
32.82,36.17,28.8,32,26.78,26.58,29.72,29.62,5.39,6.66,5.83,6.53,3.83,2.95,3.65,3.45,20.5,13.5,11,10.9,4.3,4.3
28.47,31.72,27.26,30.07,28.31,27.97,29.71,29.72,4.55,5.39,5.5,5.85,3.52,2.78,3.57,3.24,18.2,12.4,10.3,10.8,4,4.2
25.03,28.66,26.7,29.41,29.86,29.27,28.96,28.83,4.26,5.81,5.35,6.91,3.41,2.81,3.61,3.28,16.3,11.6,9.7,10.4,3.9,3.9
26.17,29.54,29.08,32,28.48,27.85,27.13,27.01,4.77,6.69,6.22,7.06,3.79,2.99,3.94,3.55,16.3,10.9,8.6,10.1,3.8,3.8
32.1,35.4,33.32,36.61,25.79,25.38,25.53,25.26,5.5,7.18,6.09,7.97,4.04,3.09,3.91,3.69,17.1,11.4,8.8,10.4,3.9,3.7
37.59,41.14,38.95,42.39,23.95,23.53,23.83,23.53,6.56,8.96,8.04,9.53,4.69,3.47,4.62,3.99,22.3,15.5,9.7,11.2,4.9,4.2
45.36,49.95,49.82,53.42,21.64,21.08,20.12,19.62,9.52,9.87,9.42,10.52,6.46,4.17,5.72,5.03,24.5,23.7,13.2,12.9,7.4,5.7
48.97,53.72,55.43,59.29,20.47,19.91,18.28,17.78,10.01,11.84,11.09,13.91,7.99,5.63,7.25,6.97,24.2,20.7,18.4,14.7,10.5,8.5
55.21,59.21,57.95,62.49,18.95,19.48,17.69,19.21,11.27,13.74,11.7,15.53,8.9,6.46,7.76,7.61,23,18,20,16.2,11.3,11.7
57.92,59.09,61.62,58.98,18.31,19.58,17.18,19.03,10.09,12.1,11.14,13.64,8.48,5.85,7.25,6.8,26.2,20,21.7,20.4,13.1,14.6
61.9,60.93,65.9,61.82,17.28,19.49,15.91,18.52,11.33,12.36,11.32,13.86,9.29,6.15,7.79,7.01,31.7,21.6,23.8,20.2,14.3,15.6
64.42,60.99,68.58,61.77,16.5,18.84,15.29,18.49,12.81,14.31,12.13,15.27,10.17,6.8,8.27,7.61,30.3,20,23.8,18.2,12.8,16
66,60.09,70.45,61.14,16.05,19.16,14.7,18.68,13.16,13.8,13.12,14.7,10.81,6.97,8.93,7.84,30.2,21.4,24.8,18.8,13.3,16
65.9,60.05,72.2,64.45,16.03,18.74,13.86,18.57,12.69,13.62,12.79,13.73,10.31,6.77,8.7,7.33,29.5,21,25,18.8,12.8,16.3
65.95,61,73.63,64.59,15.82,18.28,13.37,16.71,12.19,13.42,12.01,14.46,9.52,6.61,8.01,7.24,27.7,20,22.6,18.9,12.2,15.3
67.44,61.29,74.91,62.25,15.22,18.1,13.27,17.53,11.41,12.99,10.27,12.75,9.44,6.32,7.53,6.62,27.7,23,22.3,18.7,16.6,15.5
66.98,59.88,74.79,61.35,15.83,18.49,14.24,18.59,10.84,11.94,10.79,11.67,8.73,5.66,7.13,6.25,26.1,22,20.7,17.8,16.4,15.1
61.97,60.26,66.23,58.15,17.64,19.09,17.51,19.49,9.8,10.82,9.74,11.53,7.54,4.96,6.38,5.96,25.2,15.9,18.2,16.8,10.4,13.3
54.57,55.42,57.63,56.99,21.03,21.29,20.82,20.85,8.24,9.45,9.36,11.39,6.59,4.68,6.14,5.82,24.8,15.9,17.3,16.4,9.2,11.5
44.6,48.77,46.63,49.01,24.4,23.96,24.31,24.22,7.25,8.97,7.66,9.78,5.78,4.17,5.42,5.13,23.7,15,15.3,15.3,7.7,8.3
39.29,43.33,39,41.81,25.96,25.54,26.66,26.84,6.61,7.73,7.81,8.87,5.17,3.84,5.1,4.78,22.1,13.1,13.8,13.5,5.8,6.7
36.76,40.45,34.52,37.33,26.47,26.12,28.1,28.23,6.1,6.53,7.37,7.93,4.76,3.62,4.8,4.3,21.5,13.5,12.2,12.3,5,5.6
36.69,40.27,32.63,35.96,26.63,26.38,29.35,29.24,5.7,6.74,6.85,8.01,4.71,3.59,4.67,4.25,21.4,12.2,10.8,11.4,4.9,5
34.34,38,29.59,33.24,27.34,27.02,30.74,30.58,5.95,9.94,6.42,7.24,4.56,6.23,4.61,4.13,18.7,12,9.5,11,5,4.4
32.71,36.6,28.47,32.16,28.23,27.81,31.32,31.14,5.53,6.96,6.11,7.18,4.52,3.49,4.52,4.03,18.1,10.8,8.6,10.9,4.5,4.1
30.84,34.9,29.15,32.57,29.35,28.82,30.7,30.64,5.49,6.99,6.01,6.97,4.47,3.39,4.53,4.36,17.1,10.6,8.6,10.8,4.3,3.9
30.22,34.42,31.38,34.91,29.99,29.33,29.37,29.25,5.52,7.38,6.48,7.46,4.83,3.77,5.01,4.65,17.1,10.2,9.3,10.9,4.3,4.2
30.87,35.14,33.4,36.93,29.5,28.77,28.32,28.17,5.98,7.23,6.43,7.87,4.85,3.69,4.95,4.57,17.2,10.1,9,11.6,4.6,4.6
35.38,39.13,36.49,40.19,27.08,26.68,26.85,26.62,6.09,8.21,7.29,9.48,4.99,3.68,4.81,4.56,17.8,12.6,8.6,11.5,5,4.4
39.83,43.32,41.82,45.95,25.17,24.82,24.87,24.56,6.76,7.28,7.6,9.06,5.38,3.93,5.07,4.89,18.1,14,9.7,11.6,5.4,4.7
44.36,47.89,48.19,52.47,23.41,23.02,22.49,22.12,7.79,9.41,8.53,11.05,6.22,4.61,5.77,5.83,19.3,14.3,12.5,12.4,6.9,6.2
48.19,51.91,49.8,54.24,22.14,21.76,21.91,21.59,8.34,9.06,9.16,11.55,6.44,4.63,6.02,5.83,20.3,19.2,15.1,13.2,10.3,7.4
50.97,54.95,51.9,56.64,21.41,21.04,21.21,20.88,8.63,9.94,9.74,10.92,6.52,4.69,6.1,5.97,18.8,17.6,15.9,13.6,8.8,8.4
54.86,59.17,57.86,61.34,20.42,20.66,19.85,21.22,8.75,9.55,8.97,10.66,6.58,4.53,5.98,5.51,20.3,17.7,17.2,14.6,8.2,9.3
56.61,58.74,60.61,61.52,20.1,20.82,19.1,20.39,7.9,9.53,8.81,10.3,6.38,4.36,5.75,5.27,23.9,15.5,16.5,14.5,7.7,9
59.14,59.79,61.5,59.95,19.32,20.42,18.82,20.16,7.46,8.69,8.57,9.47,6.19,4.27,5.58,5.02,20.8,13.6,14.9,13.8,7.5,8.9
60.53,60.64,62.59,59.56,18.78,20.27,18.45,20.06,7.85,7.82,7.67,8.99,6.13,4.01,5.38,4.83,18.2,13.4,13.9,13.2,7.5,8.5
60.48,58.4,63.77,61.37,18.72,20.23,18.04,20.12,7.5,7.83,7.66,9.29,6.03,4.08,5.28,4.79,17.4,13.6,13.7,13.1,8,8.7
61.62,60.58,67.66,62.53,18.26,19.48,16.8,20.01,7.57,8.6,7.67,8.38,6.28,4.28,5.45,4.73,18.2,13.1,13.3,13.5,7.9,8.9
63.59,60.26,69.59,61.34,17.72,20.1,16.14,19.57,8.69,8.94,8.19,9.26,6.8,4.45,5.64,4.96,19,12.7,14.3,14,8.1,9.1
62.91,59.16,70.86,60.91,18.08,20.11,16.51,20.71,10.67,11.39,11.31,12.32,7.08,4.81,6,5.44,21.4,14.1,18.2,14.7,8.6,9.9
57.79,59.69,62.31,60.15,19.89,19.92,19.43,19.56,10.21,12.28,10.77,16,6.75,4.89,6.11,6.52,24.9,15.8,30.2,16,9.7,11.5
49.81,54.08,53.31,54.96,22.93,22.66,22.78,22.7,9.51,11.99,10.8,13.1,6.11,4.59,5.74,5.51,30.7,29.6,47.1,16.6,10.3,12.5
42.6,46.92,44.14,46.86,25.26,25.05,25.86,25.79,9.03,11.59,10.56,12.8,6.08,4.58,5.8,5.5,40.9,28.7,29,16.7,8.2,8.6
37.74,41.8,37.87,40.5,27.24,27.06,28.17,28.53,14.49,12.49,12.88,13.82,12.65,5.75,8.51,6.7,36.2,28.1,18.4,15.6,7.5,7.4
35.37,39.17,33.92,37.06,28.33,28.14,29.97,30.05,9.5,12.88,11.48,15.58,7.11,6.18,6.91,7.85,38.1,24.7,27.7,15.5,7,8.6
34.47,38.17,30.55,34.26,28.98,28.85,31.96,31.85,9.17,10.4,10.21,12.75,7.06,4.95,6.56,6.95,35.4,24.1,29.3,14.6,6.7,8.2
31.37,35.6,28.53,32.24,31.01,30.58,33.37,33.21,12,10.85,11.24,11.67,10.44,5.22,8.52,6.64,29.7,18.4,20.9,13,5.7,6.3
30.87,35.15,28.08,31.69,31.35,30.86,33.78,33.69,8.43,10.56,9.6,10.12,6.75,5.07,6.85,5.96,29.8,18.3,18.9,12.9,5.5,6.1
29.66,34.02,27.82,31.4,32.39,31.85,33.9,33.8,8.68,10.58,10.4,11.17,6.82,5.35,6.94,6.33,29.9,20.3,18.3,13.8,6.1,6.2
28.13,32.68,29.29,32.86,33.3,32.52,32.53,32.4,8.1,10.79,9.41,11.62,6.48,5.29,6.78,6.57,30.9,21.9,18,14.3,6.4,6.5
29.12,33.33,31.51,35.28,32.18,31.57,31,30.83,8.15,10.2,9.53,12.42,6.8,5.26,6.87,6.72,32.9,23.2,19.7,14.5,6.7,6.1
33.41,37.26,34.39,38.22,29.76,29.38,29.47,29.23,9.16,12.14,10.72,13.13,6.78,5.39,6.93,6.42,33,24.2,,14.5,7,
37.78,41.69,39.17,43.29,27.79,27.41,27.42,27.09,10.76,12.15,12.37,15.81,7.51,5.63,7.26,6.95,30.1,26.1,22.2,14.4,7.6,6.8
43.4,47.7,46.31,50.75,25.71,25.26,24.84,24.46,11.63,14.02,12.42,15.59,8.3,6.15,7.97,7.51,31.5,36.2,25.4,15,11.5,8.3
46.28,50.47,48.5,53.09,24.44,24.06,23.88,23.53,12.48,14.27,14,16.61,9.36,6.68,8.93,8.57,30,47.1,25.6,15.9,16.9,9.8
49.84,54.88,51.69,56.43,23.2,22.69,22.81,22.47,13.44,15.35,14.98,18.06,10.28,7.43,9.89,9.31,28.8,36.9,27.6,17.5,17.3,11.8
53.79,59.96,54.36,60.08,21.92,21.64,21.81,21.5,16.78,17.05,17.56,18.44,12.97,8.28,12.05,10.28,28.9,29.8,28,19.4,14.3,12.9
56.53,59.75,58.57,58.83,21.04,21.27,20.53,22.16,14.02,14.9,15.96,18.75,11.94,7.88,11.09,10.03,26.6,24,25.5,19.3,12.3,12.5
56.35,61.83,57.7,60.92,20.79,20.51,20.56,20.26,11.52,13.65,12.19,15.78,9.57,6.8,8.87,8.65,28.8,22.4,24.8,18,11.6,13
57.92,59.75,61.26,61.41,20.39,21.55,19.52,21.31,10.69,12.31,11.36,13.36,9.04,6.33,8.1,7.63,28.5,21.2,23.9,17.1,10.9,12.5
60.49,60.07,65.61,61.32,19.71,21.24,18.1,21.29,11.08,12.37,11,13.11,9.26,6.32,7.99,7.29,26.3,21.3,23.2,16.8,11.5,12.7
63.09,60.65,67.92,62.57,19.04,21.51,17.38,20.77,11.37,12.45,10.53,13.31,9.63,6.52,7.93,7.46,26.8,21.2,22.1,17,12.2,12.9
63.42,60.39,70.01,62.88,18.98,20.75,16.93,20.77,15.28,17.18,15.21,17.7,11.38,8.06,10.12,9.36,28.8,21.2,23,18.9,13,13.6
63.81,59.62,69.85,62.39,19.11,21.38,17.75,21,15.54,17.22,17.18,19.9,11.63,7.96,9.96,9.29,32.5,22,23.6,21.8,14,14.1
58.67,59.8,62.38,58.95,20.69,21.16,20.36,20.87,13.95,14.87,14.22,17.12,10.4,7.02,9.54,8.81,41.5,22.7,34.1,21.9,15.9,16.2
51.57,55.79,53.39,55.02,23.48,23.12,23.53,23.47,13.28,19.72,14.38,21.47,9.6,10.22,8.92,11.53,40,29.1,34.9,20.9,15.7,15.5
43.31,47.79,43.77,46.9,26.18,25.76,26.66,26.55,12.06,16.32,14.56,18.31,9.15,8.24,8.97,9.19,41.5,30.8,35.5,20.3,12.4,12.5
38.74,43.02,37.17,40.11,27.78,27.48,29.42,29.69,11.91,15.19,13.78,17.16,8.71,7.4,8.52,9.27,50,26.6,37.9,20.3,10.3,12.1
35.78,39.8,32.76,36.14,28.77,28.47,31.12,31.16,11.27,14.83,13.46,17.2,8.81,7.52,8.79,8.64,42.6,31.4,34.9,17.6,9.5,11.3
35.2,39.22,30.61,34.52,29.57,29.3,32.71,32.6,12.58,16.15,15.91,18.21,9.5,8.48,9.71,9.75,43.3,30.1,34.6,17.3,9.5,10.1
34.22,38.34,29.62,33.43,30.48,30.15,33.59,33.49,11.29,17.66,13.77,17.63,9.06,9.18,9.27,9.87,39.5,28.3,29.4,17,9.3,9.9
32.42,36.65,28.43,32.28,31.59,31.17,34.47,34.4,11.24,13.31,12.66,16.17,8.6,6.74,8.92,8.3,38.8,28.4,26.9,16.8,8.8,9
28.5,32.91,26.9,30.5,33.41,32.81,34.65,34.6,9.95,13.7,11.93,13.66,8.09,6.47,8.35,7.65,37.9,29.8,25.3,16.9,8.8,8.4
25.89,30.32,27.56,31.15,34.91,34.13,33.67,33.63,9.42,12.27,10.78,13.91,7.36,6.1,7.76,7.58,34.2,27.6,23.9,16.4,8.3,7.7
25.99,30.26,29.64,33.19,34.16,33.42,31.99,31.81,9.74,12.87,11.04,13.59,7.51,6.3,7.97,7.34,33.1,24.5,,15.9,7.7,
31.65,35.5,32.52,36.41,30.59,30.17,30.26,30.03,10.73,13.31,12.66,15.7,8.01,6.29,8.12,7.64,31.1,26.8,20.3,15.3,8.5,7.3
35.83,39.76,36.74,40.82,28.42,28.03,28.28,27.97,14.38,17.82,17.33,21.88,9.94,7.9,9.73,9.64,36.3,31.1,,16.2,12.4,
41.96,45.99,42.1,46.42,26.44,26.06,26.42,26.08,16.09,20.14,19.08,22.93,9.86,7.73,9.36,9.24,40.4,37.8,40.4,17.9,12.7,10.8
46.88,51.39,46.59,51.2,24.89,24.45,24.9,24.52,14.91,17.08,16.18,21.14,10.09,7.58,9.56,9.39,45,43,38.6,21,16.7,12.4
50.24,55.49,49.8,54.61,23.83,23.34,23.97,23.6,11.99,13.06,13.22,16.11,9.26,6.61,8.66,8.16,38.4,35.3,34,22.6,16.4,13
50.86,55.91,50.67,55.57,23.63,23.2,23.61,23.23,10.57,13.25,11.74,14.98,8.76,6.19,8.02,7.86,30.4,28.3,28.2,21.3,13.7,12.8
52.61,58.11,51.74,56.84,23,22.5,23.15,22.79,11.59,13.5,11.77,14.55,9.17,6.51,8.44,7.92,27.3,25.8,23.8,19.6,13.4,12.1
56.89,60.52,55.26,61.15,21.59,22.26,21.99,21.78,11.36,12.14,11.48,13.27,9.5,6.36,8.28,7.91,28.3,23,23.7,17.1,12.4,11.9
59.48,59.52,59.78,60.73,20.71,22.36,20.59,22.29,11.1,11.86,11,13.04,9.57,6.37,8.06,7.52,26.8,20.3,21.8,17,10.7,11.7
61.57,60.96,65.05,62.17,20.09,21.89,19.08,22.07,11.94,12.12,11.01,13.6,10.1,6.62,8.26,7.7,25.4,19.5,20.7,16.9,10.9,12
63.22,60.47,67.29,62.18,19.59,21.72,18.59,21.63,12.24,13.1,11.87,13.57,10.55,7.05,8.96,7.93,26.1,20,21.1,17.7,11.9,12.8
64.79,60.81,68.04,61.09,19.11,21.56,18.44,21.67,13.74,14.05,13.44,16.6,11.44,7.43,9.29,8.69,26.8,20,21.7,18.6,12.7,13.9
64.08,59.78,66.07,59.73,19.6,21.9,19.26,21.71,14.81,18.22,14.91,19.12,11.81,8.01,9.93,9.49,30.4,21.9,22.9,20.3,14.2,15.2
59.32,58.82,61.37,60.08,21.66,22.56,21.18,21.36,15.97,17.75,16.8,21.26,11.79,8.48,10.34,10.46,34.3,25.2,25.6,21.7,15.5,16.1
50.97,54.48,53.81,56.87,24.7,24.34,24.45,24.33,14.04,18.99,15.43,18.32,11.14,10.54,10.25,10.02,42.2,30.1,30.2,23,15.5,15.8
43.92,48.61,45.42,49.63,27.48,26.96,27.66,27.52,13.06,14.99,14.95,16.95,10.47,8.26,9.95,9.57,39.8,33,28.8,21.3,14,13.6
39.06,43.58,38.78,42.44,29.19,28.76,30.48,30.89,11.89,14.01,13.47,16.06,9.42,7.05,9.13,8.68,37.9,31.7,28.2,20.5,11.5,12.7
33.7,37.66,31.62,35.54,30.36,30.04,32.28,32.33,10.7,14.14,12.5,15.28,8.16,6.73,8.15,8.07,40.1,24.9,24.7,20,9.4,10.9
31.51,35.51,28.5,32.73,30.73,30.44,33.35,33.18,10.75,16.53,12.55,15.02,8.01,9.46,8.04,8.56,39.2,28.8,27.2,17.1,9.1,9.5
32.28,36.49,28.23,32.69,31.47,31.12,34.56,34.32,11.36,14.68,13.96,17.29,9.54,8.52,9.98,10.23,40.5,30.5,24.7,16.8,9.2,8.5
32.95,37.36,29.02,33.56,32.16,31.75,34.99,34.82,13.21,15.63,14.27,16.16,11.64,8.68,11.36,10.54,35.2,28,23.9,16.3,9.3,9.4
32,36.88,30.27,34.46,33.35,32.62,34.78,34.62,13.3,16.99,15.55,19.6,11.6,9.71,12.42,11.67,35.2,26.5,20.5,18.8,9.8,9.5
29.54,34.53,31.37,35.47,34.54,33.72,33.36,33.24,12.42,15.04,14.42,17.62,11.05,9.07,11.77,11.31,36.9,24.7,21.3,21.7,10.5,9.4
30.27,34.89,33.97,38.01,33.72,33.05,31.87,31.66,12.83,16.63,13.65,17.88,11.34,9.32,11.65,11.53,35.6,21.6,,20.8,10.1,
36.68,41.39,38.05,42.43,30.32,29.82,29.87,29.54,13.2,16.4,14.88,18.77,11.19,9,11.34,10.74,36.7,24.6,,20.8,10.3,
40.71,45.43,42.19,46.71,28.81,28.36,28.3,27.92,13.3,15.56,14.51,17.69,10.7,8.29,10.63,10.1,43.7,33.4,24.4,22.6,11.9,10.2
45.42,50.77,45.31,50.01,27.23,26.71,27.05,26.66,15.11,18.11,16.23,20.6,12.04,9.26,11.69,11.34,40.8,38.8,24.7,23.2,17.8,10.5
50.16,56.17,48.16,53.1,25.59,25,25.89,25.49,16.77,18.66,18.54,22.8,13.77,10.18,13.16,12.73,41.8,35,27.8,24.9,20.8,12.1
50.13,55.84,49.87,55.37,25.63,25.19,25.65,25.27,18.07,20.64,20.09,24.94,14.74,11.08,14.29,14.09,34.5,34.8,26.4,24.5,16,13.1
63.65,61.77,66.99,67.27,24.66,27.85,23.6,27.32,27.62,27.43,23.46,31.68,23.56,15.58,18.35,18.51,44.1,33.5,28,25.6,14.3,14.4
69,61.68,75.35,66.15,23.57,27.35,22.37,27.19,29.23,28.59,24.29,32.63,25.91,18.29,19.31,20.29,45.7,35.3,28,24.2,15.5,15.9
70.66,61.44,74.86,61.7,22.93,27.35,21.95,27.37,30.4,26.81,23.54,30.69,26.89,16.44,18.21,17.74,34.1,36.4,32.5,25,19.4,18.2
71.33,61.78,74.34,63.79,22.38,26.33,20.99,25.1,30.19,24.91,21.52,28.67,27.05,15.22,16.99,17.01,39.6,34.9,33.5,25.4,24.4,17.5
72.06,61.41,74.99,60.06,21.46,25.8,20.42,25.31,30.28,23.83,20.66,27.06,27.03,14.95,16.54,16.46,41,32.1,33.9,24.8,21.5,17.6
72.13,62.42,73.29,63.38,20.87,24.7,20.06,24.18,29.34,24.21,20.19,26.73,26.21,14.45,16.58,16.46,41,31.1,32.3,26,21.8,18.9
71.77,60.94,73.56,62.29,20.63,24.59,19.87,23.71,28.56,25.54,21.75,29.73,25.38,15.87,17.6,18.16,44.1,31.5,32.5,27.8,22.4,20.7
71.44,61.91,73.53,62.47,20.94,24.59,20.17,23.93,29.79,27.88,23.41,31.8,26.45,16.58,18.91,19.47,49.3,32.4,32.8,30.4,23.7,22.5
67.21,60.59,71.54,61.22,22.51,24.82,21.64,25.17,26.5,26.84,24.79,31.39,23.18,15.84,19.44,19.09,48,34.4,33.6,31.8,24.9,22.8
59.07,59.04,63.42,59.12,25.25,25.65,24.7,25.72,22.65,23.73,23.14,29.51,19.86,13.82,17.97,18.24,53.9,39.9,32.8,31.9,23,20.6
50.06,53.78,52.37,55.17,28.43,28.21,28.25,28.42,18.98,17.61,20.23,24.17,16.86,11.83,16.27,15.46,52.7,40.1,31.3,28.6,18.5,15.8
45.84,49.53,44.55,48.76,29.69,29.76,30.57,30.66,17.91,18.27,18.79,20.66,15.8,11.24,15.51,14.27,63,38.8,31,30.3,15.9,14.3
43.42,47.28,40.19,44.86,31.03,31.09,32.77,32.67,17.32,17.8,17.83,19.99,15.67,11.46,15.55,14.35,61,35.2,28.8,32.3,13.9,13.3
37.29,40.91,35.39,39.91,32.67,32.66,33.53,33.37,14.58,15.08,15.24,17.64,13.23,10.31,13.53,12.84,56.4,44.9,27.2,26.5,14.7,11.8
33.36,37.22,31.56,36.17,33.68,33.63,34.53,34.36,13.84,14.51,14.52,15.38,12.51,9.65,12.98,11.86,48.4,34.4,22.6,22.8,14,10.1
32.24,36.14,30.25,34.9,33.72,33.6,34.99,34.7,14.24,14.16,14.96,16.47,12.97,9.92,13.28,12.25,45.8,33.2,21.7,23.3,13.6,9.9
31.03,35.18,31.83,36.15,34.56,34.34,34.02,33.88,14.31,15.36,15.16,16.65,13,10.31,13.53,12.58,40.8,31.8,21.8,21.4,13.5,9.6
28.32,32.45,31.59,35.62,36.44,36.21,33.95,33.9,13.43,13.4,14.59,17.04,12.2,9.7,13.02,12.65,40.1,34.5,,22.4,12.5,
28.46,32.13,32.92,36.97,35.21,35.09,32.4,32.18,12.63,13.72,13.43,14.83,11.44,9.27,12.08,11.66,42.2,33.5,,23.5,12.5,
35.06,39.57,37.05,41.44,31.72,31.26,30.95,30.65,14.85,14.51,15.33,16.89,13.38,10.28,13.68,12.81,50.6,29.8,18.6,22.8,11.9,8.2
44.54,50.24,46.15,50.96,28.68,28.05,28.22,27.8,17.36,16.62,17.91,19.08,15.6,11.12,15.79,14.24,43.6,37.7,,24.2,12.3,
52.19,58.57,54.26,59.98,26.44,25.82,25.79,25.37,20.45,21.27,20.52,25.99,18.14,13.37,17.31,17.65,48.9,38.1,33.2,28.8,18.7,12.8
58.23,59.96,60.63,60.7,25.12,26.64,24.28,26.6,24.85,26.69,24.51,32.44,21.64,15.89,19.14,20.4,55.6,33.4,49.8,35.7,18.9,18.2
61.99,61.24,65.15,61.71,24.35,26.56,23.44,26.72,30.86,30.17,28.97,37.75,26.73,18.87,22.48,22.99,82.2,36.2,53.8,33.1,22.4,20.8
65.15,60.7,69.02,63.65,23.71,26.52,22.51,26.6,33.86,33.37,32.6,41.27,28.63,20.11,24.41,24.2,55.7,39,79.3,27.9,24.5,24.8
67.45,60.8,70.44,62.98,23.19,26.69,22.14,25.77,34.33,33.06,32.38,38.85,29.72,20.42,24.35,24.22,53.8,37.3,38,27.7,25.4,20.6
68.46,61.31,71.66,60.6,22.83,26.22,21.72,26.04,32.02,32.93,30.43,37.6,28.23,19.94,23.94,23.13,63.1,37.7,33.4,34.2,26.7,19.9
60.55,59.88,66.75,61.16,24.33,25.57,22.96,25.08,26.74,24.31,25.56,31.61,24.06,17.21,22.27,22.19,45.8,38,32.1,25.8,28.4,21
62.36,60.66,67.41,61.96,23.68,25.5,22.42,25.3,30.11,27,27.73,32.51,27.09,19.05,24.4,23.57,35.4,35.9,30.3,23.5,27.9,20.1
63.76,60.4,69.53,61.73,23.43,25.48,22.01,25.63,31.53,28.6,28.99,34.35,28.41,20.05,25.58,24.71,34.4,35.7,28.5,25.4,28.1,20.5
64.03,60.49,68.09,60.38,23.34,25.5,22.55,25.45,30.81,27.61,28.09,33.59,27.77,19.48,24.7,24.64,37.2,36.6,29.4,26.1,28.8,21.8
73.01,64.56,76.77,71.04,21.6,25.83,21.01,24.39,34.65,28.86,24.14,34.64,27.97,16.47,18.08,20.27,55.2,36.9,29.5,31.1,29.7,21.4
79.26,61.83,83.61,71.77,21.66,27.21,20.78,25.21,37,31.61,24.07,33.89,31.75,19.53,19.46,22.21,29.8,41.2,25.5,23.8,32.3,17
76.34,60.91,82.27,68.9,22.8,27.71,22.1,26.51,41.54,36.5,30.92,44.06,36.95,25.4,27.06,30.26,34.8,34.2,20.2,27.7,29.1,16.3
67.94,60.9,74.51,62.47,24.77,27.74,24.72,28.09,34.36,25.12,29.83,36.74,30.95,19.19,26.4,26.99,40.5,33,27.2,31.1,27.6,20.9
61.71,59.18,64.5,61.08,26.37,28.2,27.08,28.47,27.7,20.88,25.15,28.9,25.04,15.74,22.37,21.45,44.9,31.6,26.4,27.4,23.6,17.9
56.21,59.31,55.2,57.13,27.57,27.7,28.95,28.63,21.48,17.89,20.76,24.2,19.46,13.88,18.61,19.41,37.5,24.9,24.7,23.5,17.1,15.2
51.02,54.83,46.91,49.4,28.51,28.58,31.57,31.71,17.52,18.02,17.18,22.05,15.93,13.85,15.39,18.57,34.5,19.5,21.8,22.2,12.3,13.2
46.49,50.44,42.71,46.23,29.66,29.7,31.97,31.97,16.49,15.48,17.06,17.04,15.04,11.4,15.23,14.3,35.2,15.9,15.6,22,9.5,10
