NAM 1 Hum BME280,NAM 1 Hum SHT30,NAM 2 Hum BME280,NAM 2 Hum SHT30,NAM 1 Temp BME280,NAM 1 Temp SHT30,NAM 2 Temp BME280,NAM 2 Temp SHT30,Luftdaten 1 PM10,Luftdaten 2 PM10,NAM 1 PM10,NAM 2 PM10,Luftdaten 1 PM2.5,Luftdaten 2 PM2.5,NAM 1 PM2.5,NAM 2 PM2.5,Reference 1 PM10,Reference 2 PM10,Reference 3 PM10,Reference 1 PM2.5,Reference 2 PM2.5,Reference 3 PM2.5
25.13,27.97,26.26,29.43,27.59,27.25,27.12,26.79,2.84,3.97,3.24,3.51,2.17,1.56,1.78,1.58,27.9,13,9.5,10.1,2,2.5
27.27,30.45,28.01,31.24,26.55,26.07,26.3,25.97,3.54,4.03,3.74,4.11,2.35,1.64,2.04,1.72,41.2,13.5,9.4,11.7,2.1,2.8
30.93,35.04,32.24,35.82,24.62,23.98,24.52,24.08,3.67,4.69,4.31,5.41,2.79,2.08,2.4,2.26,41.3,17.7,15.5,12.9,3,3.9
37.42,42.16,39.87,43.78,22.58,21.93,21.85,21.34,6.9,10.88,7.52,13.06,4.97,4.91,4.3,6,50.4,18.4,25,15,5,6.4
41.48,46.64,44.73,48.86,21.44,20.76,20.24,19.75,9.28,14.39,10.04,15.87,6.93,6.08,6.13,7.23,61.3,23.9,25,19.3,8.8,8
42.34,47.15,40.63,45.31,20.85,20.24,21.42,20.97,6.62,7.68,7.56,7.91,4.89,3.23,3.99,3.54,62.8,29.7,23.2,20.5,14.9,9.5
42.34,46.98,40.19,44.76,20.53,19.94,21.23,20.77,6.52,7.87,6.89,8.05,4.99,3.5,4.13,3.62,42.7,35.9,21.3,18.1,23.3,9.8
42.9,47.73,41.71,46.17,20.17,19.59,20.56,20.1,6.55,7.58,7.24,7.92,5.07,3.47,4.28,3.86,28,25.2,19.6,15,15.2,9.5
45.06,50.48,45.03,49.47,19.61,19,19.68,19.2,6.54,7.27,6.42,7.77,5.2,3.41,4.2,3.84,27.8,18.6,18.6,16.6,11.2,9.5
47.49,53.35,46.63,51.56,19.09,18.45,19.47,19,6.59,8.22,6.92,7.65,5.19,3.46,4.33,3.7,21.9,16.8,18.6,14.7,10.5,9.9
47.27,52.12,47.48,52.44,19.91,19.53,19.57,19.2,6.91,7.89,7.06,8.8,5.38,3.53,4.44,4.01,32,18.5,18.6,15.9,12.4,10.1
43.86,47.87,45.3,50.43,21.63,21.47,20.94,20.65,7.2,7.37,6.82,8.3,5.47,3.61,4.44,3.86,34.4,18.6,18.2,16.4,12.3,9.9
37.48,41.46,40.48,45.15,25.18,24.98,23.54,23.36,6.22,8.15,6.91,8.98,4.69,3.49,4.08,3.78,30.2,22.3,18.1,15.4,12.2,9.3
32.75,36.45,34.65,38.83,27.89,27.76,26.84,26.75,5.62,7.04,6.6,7.18,4.27,3.11,3.79,3.49,31.7,19.2,17.2,15.1,7.3,7.6
28.53,32.24,29.91,33.44,30.29,30.1,29.37,29.43,5.03,6.06,5.56,6.48,3.95,2.88,3.56,3.26,30,17.1,14.8,13.4,5.8,6
26.01,29.45,26.81,30.83,31.59,31.4,31.15,30.78,4.68,5.11,5.17,6.6,3.81,2.82,3.55,3.2,34.6,16.2,13.6,14.1,5.4,5.3
