NAM 1 Hum,NAM 2 Hum,NAM 1 Temp,NAM 2 Temp,Luftdaten Hum,Luftdaten Temp,Luftdaten PM10,Luftdaten PM2.5,Reference PM10,Reference PM2.5
41.7,42.23,25.61,25.36,53.33,24.21,10.1804166666666,4.6475,30.7,16.9
40.52,42.39,26.48,25.56,53.73,24.15,12.9033333333333,5.64416666666666,37.3,18.9
36.11,39.58,28.61,26.85,47.47,27.5,13.7817391304347,6.64478260869565,43.3,21.8
32.76,35.42,30.16,29.22,33.46,35.89,19.5999999999999,7.87166666666666,44.8,22.8
27.8,29.34,32.23,31.33,28.26,39.26,14.5595833333333,6.79541666666666,75.4,24.8
26.15,28.01,32.79,31.78,29.54,38,15.8804347826086,7.26521739130434,76.1,21.3
25.16,25.8,33.22,33.35,26.34,39.54,11.3383333333333,5.99125,63.2,19
24.12,23.13,33.44,34.62,30.43,33.99,12.4386956521739,6.75086956521739,52.5,15.9
24.25,24.64,32.9,32.73,33.12,31.73,15.3454166666666,6.33458333333333,53.2,16.1
36.92,39.65,28.39,28.1,48.6,27.36,14.0041666666666,5.51708333333333,79.2,18.3
25.34,28.82,32.64,30.9,35.13,29.16,9.69652173913043,4.14695652173913,51.3,17.1
18.7,24.79,36.69,31.27,33.67,30.08,8.97958333333333,4.21,40.6,13.5
17.54,25.71,37.22,30.35,33.89,29.62,9.50478260869565,3.9291304347826,36.2,12.9
21.01,26.48,33.07,29.66,32.91,29.6,7.90625,3.73041666666666,33.7,12.4
27.3,28.62,28.41,27.9,35.83,27.49,7.80666666666666,3.02791666666666,35.3,12.7
27.62,28.75,26.66,26.23,36.05,25.78,7.30739130434782,2.78782608695652,36.4,12.3
41.61,45.8,23.85,22.66,46.71,23.3,8.00833333333333,2.77791666666666,37.8,12.3
48.85,54.18,22.61,20.95,48.4,22.72,9.68,3.16782608695652,29.6,11.8
55.04,59.48,21.47,20.63,67.74,20.94,11.8045833333333,4.62916666666666,31,13.1
53.4,55.99,21.2,20.62,74.81,20.23,10.72,4.71826086956521,35.4,16.1
52.82,54.96,20.89,20.44,74.78,19.79,11.0586956521739,4.31695652173913,31.6,16.2
53.58,56.02,20.42,19.87,73.19,19.36,7.69208333333333,3.85333333333333,44.9,17
54.61,56.9,20,19.52,74.35,19.04,7.78166666666666,4.41625,21.2,13.1
56.67,56.93,19.57,19.4,75.34,18.75,9.43869565217391,4.85521739130434,25.8,14.7
56.05,56.74,19.4,19.07,67.81,19.13,8.85416666666666,3.41,28.1,15.2
49.48,51.7,20.42,19.86,58.97,20.04,11.6445833333333,3.30833333333333,36.5,15.2
43.41,44.79,22.16,21.56,53.01,22.46,9.15478260869565,2.98782608695652,49.1,16.7
40.23,41.17,23.38,22.81,37.84,29.53,8.93541666666666,2.79208333333333,43.7,15.3
36.58,37.81,25.26,24.65,30.37,33.98,7.70458333333333,2.69666666666666,47.9,15.7
34.68,35.23,26.38,26.1,29.7,34.1,8.53434782608695,2.89521739130434,44.1,14.8
30.76,31.43,27.03,26.64,28.83,32.12,7.43666666666666,2.13083333333333,45.5,14.9
29.91,29.04,26.2,26.68,34.15,27.17,8.0795652173913,1.79826086956521,49,12.8
28.52,27.92,26.34,26.67,35.1,26.13,5.61333333333333,1.54125,49.2,12.2
27.27,27.4,26.89,26.76,35.23,25.64,5.98375,1.41875,37.9,10.6
23.87,26.22,28.78,26.82,34.21,25.73,6.49521739130434,1.45173913043478,40,10.7
20.58,26.08,31.24,26.48,33.73,25.85,7.34625,1.85708333333333,42.8,11.1
19.53,28.36,32.45,25.56,36.43,24.89,8.6091304347826,2.39478260869565,43.2,11.9
25.93,30.34,26.77,24.31,37.43,24.38,8.27833333333333,2.31375,41.9,12.9
29.43,31.88,24.59,23.38,39.32,23.53,7.20521739130434,2.27173913043478,42.9,13.5
34.47,35.42,22.39,22.04,43.66,21.61,10.19375,2.29291666666666,39.2,13.6
37.6,37.51,20.78,20.8,46.88,20.08,9.08541666666666,1.95749999999999,51.4,15
39.49,39.66,19.83,19.66,49.19,19.09,8.39913043478261,2.09826086956521,42.7,13.9
40.87,40.5,18.83,18.83,50.33,18.06,7.21458333333333,1.64666666666666,33.7,13.3
43.35,42.92,17.88,17.86,53.18,17.03,5.36583333333333,1.32625,29.6,11.6
46.52,45.71,16.85,16.9,56.07,16.2,4.37086956521739,1.15782608695652,16.8,9.5
48.37,47.62,16.01,16.04,59.87,15.15,3.925,1.21416666666666,17.3,8.8
50.29,50.66,15.46,15.33,66.63,14.29,8.78208333333333,1.79375,15,8.7
53.03,54.39,14.82,14.46,71.29,13.68,6.04695652173913,1.52608695652173,24.3,10.7
54.28,55.88,14.94,14.44,71.98,13.87,8.42416666666666,1.86166666666666,23.2,9.9
50.91,52.96,16.18,15.28,66.61,14.72,8.54041666666666,2.08833333333333,32.4,12
41.91,45.12,18.52,16.9,54.86,17.59,7.62782608695652,1.78869565217391,37.5,13.5
37.14,40.78,20.47,18.43,39.66,22.84,7.765,1.78625,37.2,12.8
32.19,35.47,21.36,19.6,35.11,23.59,9.195,1.90291666666666,40.7,14
29.74,32.86,22.11,20.26,34.93,22.78,7.22130434782608,1.92130434782608,44,13.2
30.44,33.43,21.85,20.31,36.66,22.45,9.68458333333333,2.22166666666666,38.4,13.8
28.16,30.19,22.51,21.29,35.98,21.63,7.41916666666666,1.78875,39.8,14.9
25.92,29.01,23.01,20.94,35.1,21.26,8.40043478260869,1.90565217391304,34.3,11.9
25.69,29.24,23.39,21.1,34.78,21.86,8.10708333333333,1.9375,41,13.2
25.7,29.28,23.54,21.24,35.93,21.22,9.34434782608695,1.89,38.3,12.9
25.07,28.59,23.22,20.85,34.9,21.13,8.04125,2.01708333333333,46.2,13.4
20.32,27.63,27.25,21.32,34.25,21.22,7.52958333333333,1.64166666666666,41.4,12.8
26.26,29.48,22.19,20.45,36.5,20.73,5.54173913043478,1.52999999999999,34.2,11.8
29.05,31.89,21.37,20.02,39.3,19.89,9.64708333333333,1.93666666666666,31.3,11.8
34.06,34.85,19.49,19.19,43.32,18.71,8.57739130434782,1.78565217391304,38.2,12.4
